Time	Type	Amount	Symbol
10/5/2025 5:43	Commission	-0.01449483 USDT	ENAUSDT
10/5/2025 5:39	Commission	-0.00634410 USDT	ETHUSDT
10/5/2025 5:30	Commission	-0.00723725 USDT	HYPEUSDT
10/5/2025 5:00	Funding fee	-0.21567518 USDT	AVNTUSDT
10/5/2025 4:20	Commission	-0.07071127 USDT	AVNTUSDT
10/5/2025 4:19	Commission	-0.02653873 USDT	SUIUSDT
10/5/2025 4:12	Commission	-0.03946949 USDT	AVNTUSDT
10/5/2025 4:08	Commission	-0.00803825 USDT	DOGEUSDT
10/5/2025 4:08	Realized PNL	0.05616000 USDT	FARTCOINUSDT
10/5/2025 4:08	Commission	-0.00055489 USDT	FARTCOINUSDT
10/5/2025 4:06	Commission	-0.01473708 USDT	SUIUSDT
10/5/2025 3:55	Commission	-0.00807310 USDT	ENAUSDT
10/5/2025 3:45	Commission	-0.00196177 USDT	FARTCOINUSDT
10/5/2025 3:10	Commission	-0.00816724 USDT	SUIUSDT
10/5/2025 3:10	Commission	-0.02171207 USDT	AVNTUSDT
10/5/2025 3:04	Realized PNL	2.89078999 USDT	XRPUSDT
10/5/2025 3:04	Commission	-0.02853263 USDT	XRPUSDT
10/5/2025 2:45	Realized PNL	3.81100000 USDT	ETHUSDT
10/5/2025 2:45	Commission	-0.03766540 USDT	ETHUSDT
10/5/2025 2:32	Realized PNL	13.58246000 USDT	HYPEUSDT
10/5/2025 2:32	Commission	-0.13429411 USDT	HYPEUSDT
10/5/2025 2:30	Commission	-0.01244929 USDT	AVNTUSDT
10/5/2025 2:30	Commission	-0.07321229 USDT	BNBUSDT
10/5/2025 1:09	Realized PNL	0.19380000 USDT	AVNTUSDT
10/5/2025 1:09	Commission	-0.00197846 USDT	AVNTUSDT
10/5/2025 1:00	Funding fee	0.13673282 USDT	HYPEUSDT
10/5/2025 1:00	Funding fee	-0.01142313 USDT	AVNTUSDT
10/5/2025 1:00	Funding fee	0.02906796 USDT	XRPUSDT
10/5/2025 1:00	Funding fee	0.03822841 USDT	ETHUSDT
10/5/2025 0:56	Commission	-0.02382048 USDT	XRPUSDT
10/5/2025 0:50	Commission	-0.07560090 USDT	ETHUSDT
